"filename", "language", "YAML", "Dart", "C++", "Markdown", "Swift", "XML", "JSON", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"e:\Projects\P_Android_save\flutter project\aggar\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"e:\Projects\P_Android_save\flutter project\aggar\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"e:\Projects\P_Android_save\flutter project\aggar\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 7, 45
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 11, 1, 48
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\P_Android_save\flutter project\aggar\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"e:\Projects\P_Android_save\flutter project\aggar\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"e:\Projects\P_Android_save\flutter project\aggar\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\Projects\P_Android_save\flutter project\aggar\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"e:\Projects\P_Android_save\flutter project\aggar\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\Projects\P_Android_save\flutter project\aggar\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\P_Android_save\flutter project\aggar\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
